CollectionSurveyKey,CollectionUnitKey,ScbId,VeNr,CUParentStatusCode,CUStatusCode,IndustryCode,PopulationSize,SampleSize,Stratum,AnnualTurnoverTotal,AnnualTurnoverDomestic,AnnualInventories,Netto,IndHandTj,SampleOccasion,Bgrupp
3,3428885,,1587617,00,002,25999,889,29,255XX0001,17113.6757703212,17113.6757703212,0,1,,2023,255XX
3,3428886,,1588169,00,002,32990,175,5,321XX0002,3460.8486548860,3287.8486548860,0,1,,2023,321XX
3,3428887,,1589944,00,002,16231,189,5,162000001,16255.3394866591,16255.3394866591,0,1,,2023,16200
3,3428888,,1590017,00,002,25110,150,10,251XX0001,25538.1645189565,25538.1645189565,0,1,,2023,251XX
3,3428889,,1590926,00,002,10910,203,21,100000001,32735.5278969865,32510.5278969865,0,1,,2023,10000
3,3428890,,1591312,00,002,33150,1019,15,330000001,2259.9803073745,2259.9803073745,0,1,,2023,33000
3,3428891,,1591601,00,002,31011,184,6,310000001,21333.1183955418,21333.1183955418,0,1,,2023,31000
3,3428892,,1591700,00,002,10310,129,57,100000002,121467.3408859090,85672.3408859091,0,1,,2023,10000
3,3428893,,1592138,00,002,32990,175,5,321XX0002,6659.3237274468,6659.3237274468,0,1,,2023,321XX
3,3428894,,1593607,00,002,18122,274,5,180000001,8582.0561300855,8582.0561300855,0,1,,2023,18000
3,3428895,,1594555,00,002,25120,71,7,251XX0002,65491.9119935989,65335.9119935989,0,1,,2023,251XX
3,3428896,,1595750,00,002,33150,1019,15,330000001,8788.5403713438,8788.5403713438,0,1,,2023,33000
3,3428897,,1596485,00,002,18130,274,5,180000001,2951.8440290840,2945.8440290840,0,1,,2023,18000
3,3428898,,1596667,00,002,33120,1019,15,330000001,2207.4344323647,2207.4344323647,0,1,,2023,33000
3,3428899,,1598218,00,002,08990,24,5,080000003,88293.6051264821,73649.6051264821,0,1,,2023,08000
3,3428900,,1599778,00,002,25940,889,29,255XX0001,16506.5308652986,15148.5308652986,0,1,,2023,255XX
3,3428901,,1600147,00,002,33200,416,15,330000002,24510.0440885038,24433.0440885038,0,1,,2023,33000
3,3428902,,1601921,00,002,25999,202,56,255XX0003,119510.6861946780,15025.6861946784,0,1,,2023,255XX
3,3428903,,1602440,00,002,25110,150,10,251XX0001,43410.0351340081,43410.0351340081,0,1,,2023,251XX
3,3428904,,1602911,00,002,33150,1019,15,330000001,4161.5905056630,4161.5905056630,0,1,,2023,33000
3,3428905,,1603521,00,002,25120,150,10,251XX0001,40144.8924631389,30649.8924631389,0,1,,2023,251XX
3,3428906,,1603844,00,002,25730,889,29,255XX0001,11608.8013490748,8905.8013490748,0,1,,2023,255XX
3,3428907,,1607639,00,002,25620,202,56,255XX0003,143358.0088758270,110699.0088758270,0,1,,2023,255XX
3,3428908,,1607738,00,002,25500,889,29,255XX0001,16473.8390180244,16473.8390180244,0,1,,2023,255XX
3,3428909,,1607910,00,002,25110,150,10,251XX0001,41137.6422627151,41137.6422627151,0,1,,2023,251XX
3,3428910,,1608447,00,002,26510,21,13,265XX0002,206862.3641594760,5449.3641594764,0,1,,2023,265XX
3,3428911,,1608496,00,002,16239,48,12,162000003,107034.3820192540,26365.3820192542,0,1,,2023,16200
3,3428912,,1608975,00,002,33150,181,17,330000003,27048.6090803620,27048.6090803620,0,1,,2023,33000
3,3428913,,1609270,00,002,25620,618,68,255XX0002,31240.6750549918,31240.6750549918,0,1,,2023,255XX
3,3428914,,1609957,00,002,33200,1019,15,330000001,2416.1744243742,2414.1744243742,0,1,,2023,33000
3,3428915,,1609999,00,002,33120,416,15,330000002,11177.5108413466,11025.5108413466,0,1,,2023,33000
3,3428916,,1610054,00,002,22290,139,12,220000001,23716.2899486262,21092.2899486262,0,1,,2023,22000
3,3428917,,1610526,00,002,25999,889,29,255XX0001,21055.7256697526,14384.7256697526,0,1,,2023,255XX
3,3428918,,1610781,00,002,10890,203,21,100000001,69917.0463914266,31089.0463914266,0,1,,2023,10000
3,3428919,,1611235,00,002,32400,61,5,321XX0003,26686.5199241179,15141.5199241179,0,1,,2023,321XX
3,3428920,,1611243,00,002,25620,889,29,255XX0001,13049.9640985142,13049.9640985142,0,1,,2023,255XX
3,3428921,,1611821,00,002,25620,618,68,255XX0002,51583.6928937846,51583.6928937846,0,1,,2023,255XX
3,3428922,,1614692,00,002,16239,189,5,162000001,14225.2369354277,14070.2369354277,0,1,,2023,16200
3,3428923,,1614718,00,002,26300,35,8,262YY0001,39507.7122860778,39479.7122860778,0,1,,2023,262YY
3,3428924,,1614890,00,002,18122,274,5,180000001,3957.4007309161,3953.4007309161,0,1,,2023,18000
3,3428925,,1615715,00,002,25730,618,68,255XX0002,65698.1135372223,17848.1135372223,0,1,,2023,255XX
3,3428926,,1615814,00,002,25999,618,68,255XX0002,44642.6775067416,34700.6775067416,0,1,,2023,255XX
3,3428927,,1615863,00,002,22290,139,12,220000001,33475.3852232916,12870.3852232916,0,1,,2023,22000
3,3428928,,1618479,00,002,22220,109,21,220000002,119128.4387561030,109173.4387561030,0,1,,2023,22000
3,3428929,,1618909,00,002,25620,889,29,255XX0001,10698.7039989983,10664.7039989983,0,1,,2023,255XX
3,3428930,,1619220,00,002,18122,274,5,180000001,7436.0582379164,7433.0582379164,0,1,,2023,18000
3,3428931,,1619824,00,002,08120,47,5,080000002,24252.7193601973,24252.7193601973,0,1,,2023,08000
3,3428932,,1620376,00,002,32990,175,5,321XX0002,8409.5073453508,8409.5073453508,0,1,,2023,321XX
3,3428933,,1620996,00,002,25730,889,29,255XX0001,14776.5737592119,14593.5737592119,0,1,,2023,255XX
3,3428934,,1621093,00,002,33200,1019,15,330000001,8028.3687313941,7099.3687313941,0,1,,2023,33000
3,3428935,,1623834,00,002,16239,191,27,162000002,27599.0889253020,27599.0889253020,0,1,,2023,16200
3,3428936,,1623859,00,002,25620,889,29,255XX0001,8456.5987047584,7457.5987047584,0,1,,2023,255XX
3,3428937,,1624667,00,002,16240,48,12,162000003,158298.7188395460,142066.7188395460,0,1,,2023,16200
3,3428938,,1628452,00,002,13300,35,5,131XX0001,4502.6237370039,4502.6237370039,0,1,,2023,131XX
3,3428939,,1629013,00,002,15200,41,5,150000001,3452.5637928557,3144.5637928557,0,1,,2023,15000
3,3428940,,1630177,00,002,31012,184,6,310000001,19333.1295220855,18240.1295220855,0,1,,2023,31000
3,3428941,,1631019,00,002,25620,889,29,255XX0001,11691.7609220492,11691.7609220492,0,1,,2023,255XX
3,3428942,,1631605,00,002,28290,173,28,280000001,88871.7436507774,67813.7436507774,0,1,,2023,28000
3,3428943,,1633049,00,002,31011,46,7,310000003,111314.6686184610,75651.6686184611,0,1,,2023,31000
3,3428944,,1633890,00,002,22290,109,21,220000002,90570.9753357712,90570.9753357712,0,1,,2023,22000
3,3428945,,1634443,00,002,25120,150,10,251XX0001,39651.9641598043,39651.9641598043,0,1,,2023,251XX
3,3428946,,1635218,00,002,33120,181,17,330000003,31090.5875572825,22527.5875572825,0,1,,2023,33000
